results11,results12,results13,results14,results15,results16,results17
"Tau","RMSE (Lower, Upper)",Time,"Sparsity (Lower, Upper)","Coverage Probability (Lower, Upper)",PICP,MPIW
"(0.01, 0.96)","35.1051, 35.1050",1.0264,"0.0000, 0.0000","0.0000, 0.0000",0.0000,0.0001
"(0.015, 0.965)","35.1051, 35.1050",0.8404,"0.0000, 0.0000","0.0000, 0.0000",0.0000,0.0001
"(0.02, 0.97)","35.1051, 35.1050",0.8326,"0.0000, 0.0000","0.0000, 0.0000",0.0000,0.0001
"(0.025, 0.975)","35.1051, 35.1050",0.7778,"0.0000, 0.0000","0.0000, 0.0000",0.0000,0.0001
"(0.03, 0.98)","35.1051, 35.1050",0.9010,"0.0000, 0.0000","0.0000, 0.0000",0.0000,0.0001
