results11,results12,results13,results14,results15,results16,results17
"Tau","RMSE (Lower, Upper)",Time,"Sparsity (Lower, Upper)","Coverage Probability (Lower, Upper)",PICP,MPIW
"(0.01, 0.96)","2.4681, 1.6142",46.3686,"0.0000, 0.0000","0.0122, 0.9429",0.9306,3.6121
"(0.015, 0.965)","2.1943, 1.6689",46.1878,"0.0000, 0.0000","0.0153, 0.9449",0.9296,3.3975
"(0.02, 0.97)","2.0535, 1.7081",48.1201,"0.0000, 0.0000","0.0153, 0.9480",0.9327,3.2868
"(0.025, 0.975)","1.9235, 1.7802",47.2284,"0.0000, 0.0000","0.0194, 0.9500",0.9306,3.2162
"(0.03, 0.98)","1.8136, 1.8425",47.9702,"0.0000, 0.0000","0.0204, 0.9531",0.9327,3.1663
