results11,results12,results13,results14,results15,results16,results17
"Tau","RMSE (Lower, Upper)",Time,"Sparsity (Lower, Upper)","Coverage Probability (Lower, Upper)",PICP,MPIW
"(0.01, 0.96)","2.8266, 1.6430",30.8903,"0.0000, 0.0000","0.0068, 0.9013",0.8945,3.8123
"(0.015, 0.965)","2.5222, 1.6787",31.3516,"0.0000, 0.0000","0.0116, 0.9061",0.8945,3.5371
"(0.02, 0.97)","2.3372, 1.7160",31.9605,"0.0000, 0.0000","0.0129, 0.9095",0.8965,3.3828
"(0.025, 0.975)","2.2233, 1.7705",30.5907,"0.0000, 0.0000","0.0177, 0.9101",0.8924,3.3164
"(0.03, 0.98)","2.1132, 1.8192",32.5951,"0.0000, 0.0000","0.0197, 0.9135",0.8938,3.2501
